iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;03:23:10;03:23:10;03:23:11;;;03:23:11;03:23:11;03:23:17;03:23:17;03:23:17;03:23:18;03:23:18;03:23:28;03:23:28;03:23:29;03:23:29;03:23:29;03:23:29;;;03:23:39;03:23:39;;00:00:00;;00:00:06;00:00:06;00:00:00;00:00:10;00:00:00;00:00:00;;00:00:09;00:00:28
1;03:23:39;03:23:39;03:23:39;03:23:39;03:23:40;03:23:40;03:23:40;03:23:47;03:23:47;03:23:47;03:23:47;03:23:47;03:23:51;03:23:51;03:23:52;03:23:52;03:23:53;03:23:53;;;03:23:54;03:23:54;;00:00:00;00:00:00;00:00:07;00:00:07;00:00:00;00:00:04;00:00:00;00:00:00;;00:00:01;00:00:15
2;03:23:54;03:23:54;03:23:55;03:23:55;03:23:55;03:23:55;;;03:23:55;03:23:55;03:23:55;03:23:55;03:24:00;03:24:00;03:24:00;03:24:00;03:24:01;03:24:01;;;03:24:02;03:24:02;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;;00:00:00;00:00:07
3;03:24:02;03:24:02;03:24:03;03:24:03;03:24:03;03:24:03;;;03:24:03;03:24:03;03:24:03;03:24:03;03:24:08;03:24:08;03:24:08;03:24:08;03:24:09;03:24:09;;;03:24:10;03:24:10;;00:00:01;00:00:00;;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;;00:00:00;00:00:08
4;03:24:10;03:24:10;03:24:11;03:24:11;03:24:11;03:24:11;;;03:24:11;03:24:11;03:24:11;03:24:11;03:24:16;03:24:16;03:24:16;03:24:16;03:24:17;03:24:17;;;03:24:18;03:24:18;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;;00:00:00;00:00:07
5;03:24:18;03:24:18;03:24:18;03:24:18;03:24:19;03:24:19;;;03:24:19;03:24:19;03:24:19;03:24:19;03:24:23;03:24:23;03:24:24;03:24:24;03:24:24;03:24:24;;;03:24:25;03:24:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;;00:00:00;00:00:07
6;03:24:25;03:24:25;03:24:26;03:24:26;03:24:26;03:24:26;;;03:24:27;03:24:27;03:24:27;03:24:27;03:24:32;03:24:32;03:24:32;03:24:32;03:24:33;03:24:33;;;03:24:34;03:24:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:05;00:00:00;00:00:00;;00:00:00;00:00:08
7;03:24:34;03:24:34;03:24:35;03:24:35;03:24:35;03:24:35;;;03:24:35;03:24:35;03:24:35;03:24:35;03:24:40;03:24:40;03:24:40;03:24:40;03:24:41;03:24:41;;;03:24:42;03:24:42;;00:00:01;00:00:00;;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;;00:00:00;00:00:07
8;03:24:42;03:24:42;03:24:43;03:24:43;03:24:43;03:24:43;;;03:24:43;03:24:43;03:24:43;03:24:43;03:24:48;03:24:48;03:24:49;03:24:49;03:24:49;03:24:49;;;03:24:50;03:24:50;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;;00:00:00;00:00:08
9;03:24:50;03:24:50;03:24:51;03:24:51;03:24:51;03:24:51;;;03:24:51;03:24:51;03:24:52;03:24:52;03:24:56;03:24:56;03:24:56;03:24:56;03:24:57;03:24:57;;;03:24:58;03:24:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;;00:00:00;00:00:07
10;03:24:58;03:24:58;03:24:59;03:24:59;03:24:59;03:24:59;;;03:24:59;03:24:59;03:24:59;03:24:59;03:25:10;03:25:10;03:25:10;03:25:10;03:25:11;03:25:11;03:25:11;03:25:11;03:25:20;03:25:20;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:10;00:00:00;00:00:00;00:00:00;00:00:09;00:00:22
